mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.956,0.995,0.047,0.013,0.015,0.005,0.08,51.742,0.0
8.407,0.994,0.039,0.012,0.017,0.006,0.074,58.419,0.0
8.716,0.992,0.06,0.015,0.022,0.007,0.104,60.394,0.0
8.262,0.994,0.048,0.015,0.022,0.006,0.092,59.66,0.0
8.419,0.994,0.036,0.012,0.018,0.005,0.07,59.433,0.0
8.054,0.996,0.033,0.012,0.013,0.006,0.064,50.857,0.0
8.492,0.994,0.038,0.011,0.017,0.005,0.072,50.812,0.0
8.932,0.992,0.042,0.014,0.023,0.006,0.084,58.833,0.0
8.147,0.993,0.049,0.014,0.023,0.007,0.093,51.769,0.0
8.334,0.994,0.047,0.014,0.018,0.005,0.083,52.969,0.0
8.517,0.994,0.05,0.012,0.019,0.005,0.086,53.409,0.0
8.293,0.995,0.036,0.013,0.016,0.005,0.07,60.064,0.0
8.655,0.994,0.032,0.012,0.016,0.006,0.065,57.935,0.0
8.414,0.994,0.049,0.013,0.019,0.006,0.087,57.001,0.0
8.444,0.994,0.055,0.013,0.02,0.006,0.093,51.44,0.0
8.247,0.995,0.04,0.012,0.019,0.005,0.077,52.457,0.0
7.928,0.995,0.064,0.012,0.014,0.005,0.095,51.432,0.0
7.83,0.994,0.043,0.013,0.018,0.005,0.079,50.76,0.0
7.861,0.994,0.05,0.013,0.018,0.006,0.086,52.0,0.0
7.941,0.994,0.046,0.011,0.021,0.006,0.084,51.109,0.0
8.317,0.994,0.044,0.013,0.02,0.006,0.083,52.149,0.0
8.469,0.994,0.046,0.011,0.019,0.005,0.082,51.996,0.0
7.95,0.994,0.045,0.012,0.019,0.005,0.082,52.689,0.0
7.829,0.995,0.04,0.012,0.015,0.005,0.073,51.282,0.0
7.986,0.995,0.042,0.014,0.015,0.005,0.076,51.588,0.0
8.063,0.994,0.045,0.013,0.022,0.006,0.086,54.431,0.0
7.926,0.994,0.044,0.012,0.019,0.006,0.081,60.898,0.0
8.038,0.993,0.052,0.012,0.023,0.006,0.093,56.027,0.0
